mouse_lhb_region,mouse_gene,avg_log_expr,pct_expr,logFC_vs_other_lhb_regions
Hbx,March4,0.37827188,0.20383231,0.27560702
Hbx,Adcy8,0.7182213,0.3484328,0.2749901
Hbx,Cbln2,0.6018579,0.29268292,0.27488238
Hbx,Pou4f1,0.48197874,0.25696814,0.27431357
Hbx,Xkr6,0.70359904,0.34146407,0.27395195
Hbx,A230057D06Rik,1.3111198,0.544427,0.273229
Hbx,Galnt16,0.6127894,0.3153313,0.27290407
Hbx,Celf4,1.280183,0.52439255,0.2727841
Hbx,Srrm3,0.76083463,0.3710812,0.27259004
Hbx,Prkca,0.4972706,0.27003452,0.27242407
Hbx,Naaladl2,0.9485029,0.41986236,0.27213162
Hbx,Myl6,0.7508604,0.3379797,0.27204493
Hbx,Rasgef1b,0.7358392,0.3510461,0.27204418
Hbx,Gapdh,1.0553601,0.41986236,0.27175987
Hbx,Uqcrh,0.9146788,0.38850304,0.27088642
Hbx,Hsp90aa1,1.3899001,0.5601061,0.27058864
Hbx,Resp18,0.78455716,0.33362424,0.2693876
Hbx,Hap1,0.5171832,0.27874544,0.26912206
Hbx,Atp5j,0.77530307,0.3371086,0.26744038
Hbx,Nsg2,0.9265643,0.4268311,0.2671888
Hbx,Atp6v1f,0.5124995,0.24041755,0.2667027
Hbx,Zcchc12,0.45305374,0.23432001,0.2665711
Hbx,Baz2b,0.66827554,0.3388508,0.26591223
Hbx,Vwa5b1,0.31232688,0.18641077,0.2656755
Hbx,Bex1,0.48986357,0.22648032,0.26515958
Hbx,Atp5j2,0.7047091,0.31010476,0.26504096
Hbx,Phip,0.7232282,0.3588859,0.26252133
Hbx,Rab3a,0.5924698,0.26916343,0.26208597
Hbx,Gpr158,0.946594,0.41289362,0.2620334
Hbx,Cpne4,1.1886933,0.50087386,0.26195663
Hbx,Rgs6,0.84352475,0.35365936,0.26136708
Hbx,Zwint,0.87009776,0.38414758,0.2594934
Hbx,Gabarapl2,0.6234962,0.28745636,0.25811478
Hbx,Fstl5,0.742204,0.35191718,0.2573195
Hbx,Rabgap1l,0.99049264,0.45035058,0.25688338
Hbx,Prdx2,0.5894957,0.26567906,0.25668663
Hbx,Bsn,0.5798831,0.3066204,0.2553479
Hbx,Tacr1,0.37824562,0.1968637,0.2547165
Hbx,Cacna2d2,0.61876345,0.32230005,0.25268725
Hbx,Gm29514,0.36196136,0.19860585,0.25218865
Hbx,Cox7a2,0.7855414,0.33275315,0.2520343
Hbx,Klhl4,0.2981492,0.17247353,0.25024232
Hbx,Naca,0.76540965,0.34233516,0.25022
Hbx,Vdac1,0.5727568,0.26916343,0.24925914
Hbx,Cox6b1,0.73694366,0.32142895,0.24910516
Hbx,Elob,0.6705954,0.29790947,0.2483984
Hbx,Rbms1,0.5428554,0.2848431,0.24706542
Hbx,Pip4k2a,0.4442257,0.24390186,0.24698329
Hbx,Gpr139,0.33090356,0.18728185,0.24584454
Hbx,Mllt3,0.66689265,0.3388508,0.24572009
Hbx,Zmiz1,0.4227139,0.2465151,0.24520403
Hbx,Aldoa,0.8680653,0.36672574,0.24516922
Hbx,Fkbp3,0.5457486,0.25261268,0.24510673
Hbx,Slit3,0.61251915,0.283972,0.2448645
Hbx,Scaper,0.69092953,0.34407735,0.24450335
Hbx,Stxbp5l,1.0987711,0.47909662,0.24442047
Hbx,Amigo2,0.39957026,0.21776955,0.24382249
Hbx,Cox7b,0.66769445,0.29790947,0.24363264
Hbx,Hmgb1,0.64146906,0.31010476,0.2432327
Hbx,Sv2b,0.58754396,0.3040071,0.24267116
Hbx,Myo1b,0.33969587,0.19076616,0.24035072
Hbx,Akain1,0.30761904,0.18205538,0.24015442
Hbx,Uqcrq,0.6680213,0.29790947,0.23941246
Hbx,Elavl4,0.8209509,0.39547178,0.23845321
Hbx,Gsk3b,0.75168216,0.36759683,0.23805821
Hbx,Acaca,0.5863752,0.30313602,0.23792505
Hbx,Gabbr1,1.5684813,0.6228226,0.23711789
Hbx,Atp5a1,0.6982637,0.3266555,0.23699921
Hbx,Usmg5,0.70324916,0.30749148,0.23695809
Hbx,Sema6a,0.49974146,0.26655015,0.23657131
Hbx,Atp5e,0.77087873,0.33013988,0.23651999
Hbx,Nhlh2,0.34928206,0.19425046,0.235641
Hbx,Psip1,0.6896312,0.33536643,0.23522082
Hbx,Tnr,1.1107873,0.4799677,0.23504484
Hbx,Tmem196,0.41979358,0.22473817,0.23457287
Hbx,Rims1,1.6270161,0.6106277,0.23448038
Hbx,Slc4a4,0.620812,0.29094073,0.23372576
