compartment,mouse_region,human_cluster,human_marker_depth,mouse_marker_depth,n_mouse_markers,n_human_markers,n_overlap,odds_ratio,p_value,overlap_genes,p_adj_grid,p_adj_all_sensitivity_tests,neg_log10_p_adj_grid
MHb,Lateral,LHb.4,200,500,483,200,37,6.56500866598806,9.357065250503858e-17,ABLIM1;ALK;ARHGAP26;CELF2;CHRM3;CNKSR2;CPNE8;EPB41L3;FRAS1;FRMD3;GABRB1;GRIA2;GRIK4;GRM5;GRM8;INPP4B;KCNIP4;LRRC4C;LRRTM3;LRRTM4;LSAMP;MAGI1;NAV2;NAV3;NRXN3;PEAK1;PLCXD3;PTPRD;RIT2;RMST;RORA;SCN1A;SCN9A;SHC3;SLIT1;SNTG1;XKR4,3.898777187709941e-16,2.2016624118832606e-15,15.409071583717651
MHb,Lateral,LHb.5,200,500,483,200,52,10.527497334921929,1.1090475743078633e-30,ADGRL3;AGBL4;ALCAM;ARHGAP26;CACNB2;CASK;CDH13;CNTN4;CNTN5;CSMD3;DLG2;DMD;DOK6;ERBB4;FOCAD;GALNTL6;GRIK4;GUCY1A2;KCNC2;KCNIP4;LINGO2;LRRC7;LSAMP;MAML3;MLLT3;NAV3;NDST4;NELL2;NTRK2;PBX1;PCLO;PDE10A;PLCXD3;POU6F2;RALYL;RIT2;RMST;RYR2;SCN1A;SEMA6A;SLC35F1;SLC44A5;SLIT1;SNTB1;SORBS2;SORCS3;SOX6;TBL1X;TENM3;THRB;TRPS1;XKR4,9.242063119232194e-30,8.872380594462906e-29,29.034231069766605
MHb,Lateral,LHb.6,200,500,483,200,44,8.291922200806027,7.060194561698387e-23,BRINP1;BRINP3;CADM2;CADPS2;CELF4;CNTNAP2;COL11A1;CPNE8;DCC;DLGAP1;DPYD;ERBB4;GALNT13;GALNT14;GALNTL6;GFRA1;GPR139;GRIP1;GRM5;KCTD8;MAGI3;MAML3;MMP16;MTSS1;NDST4;OPCML;PCDH9;PEAK1;PLD5;PRICKLE2;PRKCA;PTPRZ1;RIMS1;ROBO1;ROBO2;RSPO3;SDK2;SLC35F4;SYT6;SYT9;THSD7B;TNR;TRPM3;VAV2,4.412621601061492e-22,3.1378642496437276e-21,21.355303313345235
MHb,Lateral,LHb.7,200,500,483,199,63,14.256617647058823,7.936059822732478e-43,ADGRB3;ARID1B;BRINP1;CADPS2;CAMK2D;CCDC85A;CDH11;CDH12;CNTN1;CNTN5;CNTNAP4;COL25A1;CPNE4;CTNNA2;DOK6;DPP6;FGF14;GRID1;GRM3;GUCY1A2;KCNH5;KCNH7;KCNN2;KLHL1;KLHL29;L3MBTL4;LIN7A;LINGO2;LRFN5;LRP1B;MAGI1;MGAT4C;MSI2;MTUS2;NEBL;NFAT5;NLGN1;NRG1;NRXN1;NTRK3;NWD2;PCDH11X;PDE4D;PRICKLE2;PRKCA;PRKG1;PTPRQ;RBMS3;RELN;RGS6;RUNX1T1;RYR3;SDK1;SGCZ;SLC2A13;SLC44A5;SLC8A1;SYT1;TMEM163;TMTC1;TRPC5;TRPM3;ZBTB20,1.3226766371220797e-41,1.5872119645464955e-40,40.87854631747433
MHb,Lateral,MHb.1,200,500,483,192,31,5.4956714120815695,1.4132871300320205e-12,ABR;BRINP1;CABLES1;CELF4;CFTR;CLYBL;CNTN4;COL11A1;COL16A1;DLG2;EPHA7;GNG2;GPR139;IL1RAPL1;KCND2;KCNMA1;MYO1B;NFIB;OPCML;PDE11A;PLCL1;PLD5;PLPPR1;RIMS1;ROBO2;ROR2;SIPA1L2;SOX5;SYT6;SYT7;THSD7B,4.4165222813500636e-12,1.949361558664856e-11,11.354919574206363
MHb,Lateral,MHb.2,200,500,483,200,53,10.82890365448505,1.030629138371772e-31,ABR;ADAM22;BRINP3;CABLES1;CACNA1E;CADPS2;CDK14;CELF4;CEMIP;CFTR;DACH1;DLGAP1;DNM3;DPP10;EPHA6;EPHA7;GFRA1;HECW2;IL1RAPL1;KCNIP1;KCNMA1;KCTD8;MARCH3;MCTP1;MDGA2;MTUS1;NAV2;NFIB;NRP2;NWD2;NXPH1;PCBP3;PCSK2;PDE1A;PLCE1;PLD5;PLXDC2;PTPRR;RGS6;ROBO2;RYR2;SEMA6D;SIPA1L2;SOX5;SOX6;SPOCK1;ST6GALNAC5;SYT9;THSD7B;TNFRSF11A;TNR;UBE2E2;VAV2,1.030629138371772e-30,9.161147896637974e-30,29.98689758314878
MHb,Lateral,MHb.3,200,500,483,200,26,4.213989285444805,1.1168927867560836e-08,AUTS2;CACNB2;CDK14;CSMD1;DACH1;DOCK5;DPP10;EPHA7;ERBB4;GABRB1;GRM5;HMGCLL1;KCNB2;KCNQ5;NFIB;NRP2;NXPH1;PLD5;RASGEF1B;RELN;ROBO2;SLC9A9;STXBP5;SYN3;SYT9;TMEM108,2.792231966890209e-08,9.405412941103863e-08,7.554048505190826
MHb,Dorsal,LHb.1,200,500,481,200,34,5.9099754723592355,2.092975429110808e-14,ADAM23;AGBL4;ALCAM;CDH10;CTNND2;DACH1;EBF1;FAM155A;FRMD4A;FSTL5;GRIA1;GRIN2A;HDAC9;HTR4;INPP4B;KCNH8;LHFPL3;LRP1B;LSAMP;MACROD2;MYRIP;NKAIN3;OXR1;PCLO;R3HDM1;RAP1GAP2;RYR2;SEMA3E;SLC35F3;SLIT2;SNTG1;SYN3;TMEM266;TMTC2,8.04990549658003e-14,3.720845207308103e-13,13.094209218086135
MHb,Dorsal,LHb.2,200,500,481,199,49,9.765216049382715,7.509192006878859e-28,ADCY8;ADGRB3;CACNA1C;CACNB2;CEP112;COL25A1;CPSF6;CSMD1;DOCK4;FOXP2;FRY;GALNT13;GPHN;GRIN3A;HTR4;IMMP2L;KCNH5;KIF13A;LRRC7;MAGI3;MSI2;NCAM2;OLFM3;OPCML;OSBPL3;PARD3B;PBX3;PDE1A;PLCL1;PPM1E;PRICKLE2;PRKD1;PTPRN2;RGS7;RIMBP2;RIT2;SEMA5A;SGCZ;SH3KBP1;SHROOM3;SLC8A1;SPHKAP;TCF7L2;THSD7A;THSD7B;TMEM117;TNIK;TRPM3;VAV3,5.363708576342041e-27,4.290966861073633e-26,26.270534826481278
MHb,Dorsal,LHb.3,200,500,481,199,28,4.660341066057343,4.4068493782123626e-10,ADAM23;ARHGAP26;B3GAT1;CDH10;CELF2;CTNNA2;DCC;EBF1;GRIA1;HS6ST2;INPP4B;KCNH8;KIF26B;KLHL29;LRFN5;LRP1B;LRRC4C;LSAMP;MGAT4C;NEDD4L;NKAIN3;NLGN1;NRCAM;NTRK3;PBX1;PTPRD;SNTG1;TMEFF2,1.2961321700624595e-09,4.578544808532325e-09,8.88735071003792
MHb,Dorsal,LHb.4,200,500,481,200,28,4.632886698495816,4.957803944684631e-10,ARHGAP26;B3GAT1;BTBD11;CDH10;CELF2;DOCK10;EPHA5;FRMD4A;GRIA2;INPP4B;LMO3;LRRC4C;LSAMP;MAGI1;MGAT5;NAV3;NEDD4L;NEGR1;NKAIN3;PACRG;PEG3;PTPRD;RIT2;SEMA5A;SLC8A3;SNTG1;TMEFF2;XKR4,1.3771677624123975e-09,4.95780394468463e-09,8.861013152079963
MHb,Dorsal,LHb.5,200,500,481,200,33,5.688636120615911,1.2358417719156048e-13,AGBL4;ALCAM;ARHGAP26;CACNB2;DLG2;DMD;DOK6;FOCAD;FRMD4A;GALNTL6;IL1RAP;IL1RAPL2;KIF26B;LMO3;LRRC7;LSAMP;MLLT3;MYRIP;NAV3;NEGR1;PBX1;PCLO;PRKCQ;RALYL;RIT2;RYR2;SEMA3E;SORBS2;SOX6;TENM1;TMTC2;TRHDE;XKR4,4.4137206139843024e-13,2.01770085210711e-12,12.355195160899127
MHb,Dorsal,LHb.6,200,500,481,200,38,6.831591561463646,1.1995816801472092e-17,BCL11A;CADM2;CADPS2;CDC14A;CNTNAP2;DCC;DLGAP1;ETV1;EXT1;GALNT13;GALNTL6;GFRA1;GRIP1;KCTD8;LCORL;LRP8;MAGI3;MARCH4;MCC;OPCML;PCDH9;PLD5;PRICKLE2;PRKD1;RAP1GAP;RBMS1;RCAN2;RIMS1;ROBO1;ROBO3;SLC35F4;SORCS2;SYT9;THSD7B;TNR;TRPM3;VAV2;VAV3,5.452644000669133e-17,2.9989542003680227e-16,16.26339285617197
