compartment,mouse_region,mouse_gene,gene_upper,mean_log_expr,pct_expr,mouse_logFC_vs_other_regions,excluded_gene
LHb,Lateral,Slc37a1,SLC37A1,0.05516466,0.03529412,0.023910899,False
LHb,Lateral,Slc37a2,SLC37A2,0.0027407566,0.0019607844,-0.003502674,False
LHb,Lateral,Slc37a3,SLC37A3,0.06631544,0.04411765,0.015227396,False
LHb,Lateral,Slc37a4,SLC37A4,0.03261979,0.019607844,0.0065406654,False
LHb,Lateral,Slc38a1,SLC38A1,0.3694754,0.19705883,-0.03828007,False
LHb,Lateral,Slc38a10,SLC38A10,0.082814135,0.04901961,0.003834784,False
LHb,Lateral,Slc38a11,SLC38A11,0.0,0.0,-0.010462505,False
LHb,Lateral,Slc38a2,SLC38A2,0.23573421,0.12941177,0.016518429,False
LHb,Lateral,Slc38a3,SLC38A3,0.008699913,0.004901961,-0.0035605691,False
LHb,Lateral,Slc38a5,SLC38A5,0.0022317357,0.0009803922,-0.0034623845,False
LHb,Lateral,Slc38a6,SLC38A6,0.12148246,0.073529415,0.009070784,False
LHb,Lateral,Slc38a7,SLC38A7,0.022003483,0.015686275,-0.014598757,False
LHb,Lateral,Slc38a8,SLC38A8,0.002670836,0.0009803922,-0.0010388992,False
LHb,Lateral,Slc38a9,SLC38A9,0.18676068,0.106862746,0.03776376,False
LHb,Lateral,Slc39a1,SLC39A1,0.053685363,0.030392157,0.0057436675,False
LHb,Lateral,Slc39a10,SLC39A10,0.17015067,0.097058825,-0.033109635,False
LHb,Lateral,Slc39a11,SLC39A11,0.07255087,0.048039217,-0.011747412,False
LHb,Lateral,Slc39a12,SLC39A12,0.032675877,0.014705882,0.0003390871,False
LHb,Lateral,Slc39a13,SLC39A13,0.07216381,0.04411765,0.02301019,False
LHb,Lateral,Slc39a14,SLC39A14,0.057761457,0.034313727,-0.007846985,False
LHb,Lateral,Slc39a2,SLC39A2,0.029029682,0.016666668,-0.0034164712,False
LHb,Lateral,Slc39a3,SLC39A3,0.05737944,0.03529412,-0.00011802465,False
LHb,Lateral,Slc39a4,SLC39A4,0.0,0.0,-0.0014122557,False
LHb,Lateral,Slc39a6,SLC39A6,0.04266227,0.028431373,-0.05990187,False
LHb,Lateral,Slc39a7,SLC39A7,0.090417065,0.050980393,-0.009799331,False
LHb,Lateral,Slc39a8,SLC39A8,0.0,0.0,-0.0037540987,False
LHb,Lateral,Slc39a9,SLC39A9,0.07839774,0.04901961,0.014886551,False
LHb,Lateral,Slc3a1,SLC3A1,0.010859212,0.00882353,0.0005151462,False
LHb,Lateral,Slc3a2,SLC3A2,0.12572125,0.07450981,0.00478594,False
LHb,Lateral,Slc40a1,SLC40A1,0.008141487,0.003921569,-0.00013503525,False
LHb,Lateral,Slc41a1,SLC41A1,0.03621033,0.020588236,0.0010842495,False
LHb,Lateral,Slc41a2,SLC41A2,0.12277156,0.07058824,0.014662482,False
LHb,Lateral,Slc41a3,SLC41A3,0.016136106,0.007843138,-0.0047096834,False
LHb,Lateral,Slc43a1,SLC43A1,0.0,0.0,-0.000275764,False
