mouse_gene,scores,logFC_vs_other_region,pvals,pvals_adj,pct_nz_group,pct_nz_reference,region,mouse_gene_upper,is_region_marker
Fbxl12,3.2953482,0.40402314,0.000982997840368141,0.0034565195799901474,0.05576599326599327,0.03315059658174782,MHb,FBXL12,True
Rexo1,3.2950065,0.2795425,0.0009841939158149989,0.0034592296488720037,0.05688832772166105,0.03411802644308288,MHb,REXO1,True
Lats2,3.2937052,1.0515474,0.0009887612788845688,0.0034745195928650658,0.031635802469135804,0.009416317316994518,MHb,LATS2,True
Ninj1,3.291489,0.5963185,0.000996585455882048,0.003501253203495249,0.038580246913580245,0.016252821670428894,MHb,NINJ1,True
Mrpl47,3.2908432,0.54132897,0.00099887528429358,0.0035085358791419447,0.04264870931537598,0.020251531763947114,MHb,MRPL47,True
Stat1,3.2837217,0.50707513,0.0010244605233406992,0.0035945008600945356,0.04580527497194164,0.023411802644308286,MHb,STAT1,True
Gtf2h1,3.2830544,0.253029,0.001026888286580531,0.0036014566425498886,0.06502525252525253,0.04217994195420832,MHb,GTF2H1,True
Nudt18,3.2703009,0.56874937,0.0010743318121901485,0.0037580702989134193,0.041035353535353536,0.018832634633989036,MHb,NUDT18,True
Rbm18,3.2699711,0.25865287,0.0010755841683088479,0.003760824453609082,0.058361391694725026,0.03573040954530796,MHb,RBM18,True
Rrn3,3.2681413,0.2653018,0.0010825634569502252,0.0037835920302873582,0.06684904601571268,0.04411480167687842,MHb,RRN3,True
Pgs1,3.26779,0.26191783,0.0010839074367967312,0.0037874708987226456,0.052398989898989896,0.02986133505320864,MHb,PGS1,True
Gin1,3.2677252,0.48027518,0.0010841557248420103,0.0037875202698314284,0.04601571268237935,0.023734279264753307,MHb,GIN1,True
Mplkip,3.2667913,0.34217414,0.0010877384670653267,0.0037992160882707104,0.0484006734006734,0.02599161560786843,MHb,MPLKIP,True
Nosip,3.261975,0.6012523,0.0011063887926978247,0.0038618555722674396,0.041666666666666664,0.019542083198968076,MHb,NOSIP,True
Pex2,3.2614212,0.2860097,0.001108551958851038,0.0038677368279584853,0.05709876543209876,0.0345694937117059,MHb,PEX2,True
Mknk2,3.2595763,0.82804734,0.0011157872471600602,0.0038913020100935693,0.03843995510662177,0.0163818123186069,MHb,MKNK2,True
Lsm11,3.2587512,0.7650169,0.0011190376408111002,0.0039009555689912814,0.03598484848484849,0.013930990003224767,MHb,LSM11,True
Tdg,3.2529187,0.49610767,0.0011422619537337954,0.003973352064869707,0.04727833894500561,0.02508868107062238,MHb,TDG,True
F8a,3.2527592,0.8124196,0.0011429027505681399,0.003974726293364796,0.03500280583613917,0.013028055465978716,MHb,F8A,True
Mlycd,3.248474,0.52133393,0.0011602587685144146,0.004031618814333116,0.043911335578002246,0.021799419542083198,MHb,MLYCD,True
Pqlc1,3.2468107,0.55473924,0.0011670603322194602,0.004052640805850101,0.04208754208754209,0.0199935504675911,MHb,PQLC1,True
Zfp622,3.2405052,0.27602297,0.0011931803918088584,0.004138900458397659,0.05408249158249158,0.03173169945178975,MHb,ZFP622,True
Gm13483,3.2387266,0.64200634,0.0012006460256275644,0.004163904259117893,0.04650673400673401,0.024508223153821347,MHb,GM13483,True
Cnot8,3.235313,0.47426105,0.0012150945918542088,0.004212206391607764,0.04398148148148148,0.021928410190261205,MHb,CNOT8,True
Ppie,3.2348666,0.65554905,0.0012169957380282232,0.004217892878210094,0.04159652076318743,0.019671073847146083,MHb,PPIE,True
Rwdd4a,3.233046,0.4353097,0.0012247783740453246,0.00424395676953366,0.04748877665544332,0.025411157691067398,MHb,RWDD4A,True
Fam122a,3.230613,0.7371885,0.001235251050618814,0.004277496412708053,0.036616161616161616,0.014769429216381812,MHb,FAM122A,True
Ddx21,3.2279441,0.4003388,0.0012468332106109429,0.004315755870240103,0.05022446689113356,0.028119961302805547,MHb,DDX21,True
Clk2,3.2231793,0.38575464,0.0012677619730787654,0.0043844451388815545,0.052960157126823795,0.030828764914543696,MHb,CLK2,True
Prkrip1,3.2229295,0.328782,0.0012688683266116267,0.004387333301184922,0.05057519640852974,0.028442437923250564,MHb,PRKRIP1,True
Cox18,3.2224019,0.36532605,0.0012712065566322787,0.00439353975502716,0.04559483726150393,0.023540793292486296,MHb,COX18,True
Akr1e1,3.2213721,0.31556314,0.0012757837133775486,0.004407475771867119,0.04868125701459035,0.026572073524669462,MHb,AKR1E1,True
Wnt11,3.213937,2.1289818,0.0013092834009600929,0.004515757823085065,0.024480920314253647,0.0029022895840051595,MHb,WNT11,True
Oma1,3.2139204,0.53352517,0.0013093603827059631,0.004515757823085065,0.044542648709315374,0.022637858755240246,MHb,OMA1,True
