mouse_gene,scores,logFC_vs_other_region,pvals,pvals_adj,pct_nz_group,pct_nz_reference,region,mouse_gene_upper,is_region_marker
Adamts20,-2.4570143,-0.3732621,0.014009713476854264,0.0391782703126068,0.03108674621089971,0.04790965207631874,LHb,ADAMTS20,False
Ddr1,-2.4572525,-0.05730631,0.014000419916312156,0.03915905103689246,0.05611093195743309,0.07379349046015712,LHb,DDR1,False
Rangap1,-2.4575834,0.0544829,0.013987528526173569,0.039129760275139654,0.07616897774911319,0.09476711560044894,LHb,RANGAP1,False
Utp6,-2.4576719,-0.33613276,0.013984083828042365,0.039126890835250866,0.024443727829732344,0.041245791245791245,LHb,UTP6,False
Pigq,-2.4589293,-0.07595924,0.013935202685246272,0.0389981894458739,0.05114479200257981,0.06867283950617284,LHb,PIGQ,False
Ehmt1,-2.4603798,0.07331455,0.013879000905799996,0.03885303559212789,0.11306030312802322,0.1339786756453423,LHb,EHMT1,False
Gle1,-2.4607494,-0.117973,0.01386472082316272,0.03881977831307893,0.03779425991615608,0.05499438832772166,LHb,GLE1,False
Cwc22,-2.4640427,-0.16089772,0.013737973339690655,0.03847155795870782,0.046888100612705576,0.06418350168350169,LHb,CWC22,False
Fez2,-2.4646485,-0.16186355,0.013714773106293569,0.0384198917551608,0.03218316672041277,0.04924242424242424,LHb,FEZ2,False
Atg4d,-2.4648788,-0.1519331,0.013705962478628276,0.038401860920113,0.02966784908094163,0.04671717171717172,LHb,ATG4D,False
Tmem158,-2.4656196,-0.17121565,0.013677652512171637,0.038329180420023604,0.04056755885198323,0.0577300785634119,LHb,TMEM158,False
Pank2,-2.4664104,-0.03813435,0.013647489853686441,0.0382512819933076,0.05436955820702999,0.07210998877665545,LHb,PANK2,False
Bdp1,-2.4679704,-0.0032643336,0.013588161022718835,0.03810480314536705,0.0945501451144792,0.11370650953984288,LHb,BDP1,False
Sap130,-2.4683883,-0.097999945,0.013572301709790395,0.038066929106270096,0.05952918413415027,0.07730078563411896,LHb,SAP130,False
Cdr1,-2.4685645,-0.9619184,0.013565619567873234,0.038054786075329444,0.010512737826507579,0.027146464646464648,LHb,CDR1,False
Ier5,-2.46993,-0.27341598,0.013513950575646298,0.037916418137220964,0.02231538213479523,0.03921156004489338,LHb,IER5,False
Prkcz,-2.470234,0.08669038,0.013502475225181651,0.03789079402625142,0.11931634956465656,0.14092312008978675,LHb,PRKCZ,False
Tex10,-2.470259,-0.25002435,0.013501532079549721,0.03789079402625142,0.03192518542405676,0.048961840628507294,LHb,TEX10,False
Esrra,-2.4703202,-0.10540262,0.013499212698738272,0.03789079402625142,0.030957755562721703,0.048120089786756456,LHb,ESRRA,False
A830011K09Rik,-2.4720376,-1.9165149,0.01343453970179184,0.037719784703433956,0.002837794259916156,0.019430415263748595,LHb,A830011K09RIK,False
Nkrf,-2.474944,-0.5412154,0.013325705076940841,0.037427206046104895,0.015156401160915834,0.03191638608305275,LHb,NKRF,False
Ppp1r8,-2.4753919,-0.3144943,0.013309009347604813,0.03738680552231814,0.023411802644308286,0.040333894500561164,LHb,PPP1R8,False
Tmem212,-2.4755018,-0.37013295,0.013304907498918194,0.037381775020844506,0.040825540148339244,0.05765993265993266,LHb,TMEM212,False
Eml6,-2.4758334,0.0068851523,0.013292558375758526,0.03735356701318523,0.2762334730732022,0.31179854096520765,LHb,EML6,False
Hspa2,-2.4763567,-0.79853904,0.013273086996633118,0.03730533139366476,0.013673008706868751,0.03037317620650954,LHb,HSPA2,False
Cyp4f13,-2.476535,-0.8064564,0.013266459925446571,0.03729318548733026,0.013157046114156724,0.02988215488215488,LHb,CYP4F13,False
Ssr1,-2.47725,0.0975783,0.013239905724853389,0.03722500870841362,0.10061270557884554,0.12114197530864197,LHb,SSR1,False
Cbfb,-2.4786556,-0.44777334,0.013187861952533136,0.037085129882166806,0.02708803611738149,0.04398148148148148,LHb,CBFB,False
Mtcl1,-2.4788182,-0.14667939,0.013181846480886382,0.037074659507622544,0.07578200580457917,0.09357463524130191,LHb,MTCL1,False
Dbt,-2.480734,-0.34459755,0.013111215816195856,0.03688974404521711,0.024637213801999354,0.04159652076318743,LHb,DBT,False
Zfp780b,-2.480805,-0.37392685,0.013108608144599241,0.03688974404521711,0.02167042889390519,0.038580246913580245,LHb,ZFP780B,False
Atg14,-2.4827363,-0.3940146,0.013037756300044919,0.03670130667476968,0.023347307320219283,0.04026374859708193,LHb,ATG14,False
Lin28b,-2.4850512,0.051437233,0.012953279634934879,0.03646985171367653,0.12305707836181877,0.14457070707070707,LHb,LIN28B,False
Prpf4,-2.486279,-0.26859394,0.012908675203679932,0.036350595651031145,0.02308932602386327,0.040123456790123455,LHb,PRPF4,False
Fus,-2.4870393,0.00011529948,0.012881117111885465,0.036279308599120215,0.2891970332150919,0.32512626262626265,LHb,FUS,False
Enpp4,-2.4890435,-0.41562608,0.012808726588484691,0.0360817054282027,0.018768139309900032,0.035704264870931535,LHb,ENPP4,False
Clec11a,-2.4914606,-1.579772,0.012721912542192747,0.03584339581431244,0.0044501773621412445,0.021184062850729518,LHb,CLEC11A,False
Zfp846,-2.491946,-0.1672068,0.012704535065505397,0.035800671547830974,0.038697194453402126,0.056046576879910215,LHb,ZFP846,False
Rufy2,-2.4932764,0.03162192,0.012657029826475262,0.035679236222244226,0.1053208642373428,0.12549102132435466,LHb,RUFY2,False
Flcn,-2.4944258,-0.35761333,0.012616113908920583,0.03557009630064327,0.024959690422444374,0.042017396184062854,LHb,FLCN,False
Zfp523,-2.4948194,0.007940524,0.012602125592740715,0.035536851719417895,0.057852305707836185,0.07610830527497194,LHb,ZFP523,False
Lysmd4,-2.4948552,-0.03302272,0.012600854608761921,0.035536851719417895,0.04675910996452757,0.06453423120089787,LHb,LYSMD4,False
Mta1,-2.4953678,-0.15513754,0.012582665604336143,0.03549435231080173,0.03650435343437601,0.05387205387205387,LHb,MTA1,False
Trrap,-2.496116,0.04179795,0.012556154747996357,0.03542574621469406,0.10048371493066753,0.12072109988776655,LHb,TRRAP,False
Sec61a2,-2.4970129,0.054876413,0.01252444517181325,0.035348612921668,0.1037084811351177,0.12415824915824916,LHb,SEC61A2,False
Bnip2,-2.4997234,-0.15359111,0.01242903076077995,0.035085440236582145,0.037923250564334085,0.05534511784511784,LHb,BNIP2,False
Usp40,-2.4999328,-0.034153175,0.012421688783905156,0.035070835412753694,0.07075137052563689,0.08929573512906847,LHb,USP40,False
Taf7,-2.500912,-0.48290804,0.012387398256549215,0.03498012688541961,0.019155111254434053,0.03612514029180696,LHb,TAF7,False
Neurod2,-2.5009735,-0.31527197,0.012385249029078258,0.03498012688541961,0.017220251531763948,0.034301346801346805,LHb,NEUROD2,False
Gak,-2.5016136,-0.03805615,0.01236287890969709,0.03492308179607936,0.05856175427281522,0.07666947250280584,LHb,GAK,False
Timm21,-2.501679,-0.4087293,0.012360592003555583,0.03492272063886665,0.01799419542083199,0.03500280583613917,LHb,TIMM21,False
Dnajc14,-2.5021303,-0.46987668,0.012344853173647367,0.03488434662539241,0.017800709448564978,0.03479236812570146,LHb,DNAJC14,False
Pex19,-2.5026603,-0.28608966,0.012326380382517018,0.034838232166208766,0.02670106417284747,0.04384118967452301,LHb,PEX19,False
Otud5,-2.5028567,-0.07683424,0.012319538730774588,0.034824980595994225,0.042244437278297325,0.059904601571268236,LHb,OTUD5,False
Cic,-2.5048254,-0.20111907,0.012251190065558736,0.034637825434436734,0.037342792647533055,0.054713804713804715,LHb,CIC,False
Rnf2,-2.5053303,-0.32332686,0.012233705796126525,0.034606539218668506,0.02599161560786843,0.04313973063973064,LHb,RNF2,False
Stk38l,-2.505833,-0.14828765,0.012216336960759782,0.03456345117024479,0.03566591422121896,0.05310044893378227,LHb,STK38L,False
