mouse_gene,avg_expr_LHb,avg_expr_MHb,pct_expr_LHb,pct_expr_MHb,mouse_gene_upper
Nkd1,0.02908936377362612,0.014766872292900987,0.013930990003224737,0.007014590347923672,NKD1
Nkd2,0.003331460823981577,0.0009428167442596144,0.001676878426314093,0.0004208754208754209,NKD2
Nkg7,0.0003834396438105481,0.0,0.0001289906481780071,0.0,NKG7
Nkiras1,0.12853753159643255,0.16532442550510057,0.06301193163495632,0.1029741863075232,NKIRAS1
Nkiras2,0.012677252291594812,0.015066756673955482,0.006320541760722337,0.012626262626262591,NKIRAS2
Nkpd1,0.0039339385216971764,0.0056725160363383055,0.001870364398581104,0.004278900112233449,NKPD1
Nkrf,0.028543103406556927,0.04127084904268178,0.015156401160915801,0.03191638608305263,NKRF
Nktr,0.6468620766853084,0.6739671204201567,0.27990970654628755,0.3266694725028209,NKTR
Nkx2-2,0.00779701568430311,0.00855023239009398,0.0034182521767171853,0.0037878787878787923,NKX2-2
Nkx2-2os,0.007652443027524736,0.006015653892129241,0.003224766204450175,0.0027356902356902384,NKX2-2OS
Nkx2-9,0.0008400789213995017,0.0006117811962358972,0.00038697194453402126,0.0002805836139169473,NKX2-9
Nkx6-1,0.0,0.0,0.0,0.0,NKX6-1
Nkx6-2,0.03350902586840406,0.03402381980389742,0.015027410512737795,0.016203703703703654,NKX6-2
Nle1,0.021516601761881356,0.024538060730368877,0.011286681715575599,0.018237934904601513,NLE1
Nlgn1,2.522417675374053,1.8503894990401837,0.7164785553049393,0.6161616161616239,NLGN1
Nlgn2,0.19160029544854199,0.17372944712299965,0.08900354724282468,0.10535914702581747,NLGN2
Nlgn3,0.18707733741065488,0.17774654121986921,0.08700419219606557,0.11005892255892678,NLGN3
Nlk,0.4445850724015006,0.7882970304325492,0.1978716543050624,0.3549382716049616,NLK
Nln,0.08583243257166266,0.04110149762467425,0.043856820380522306,0.026936026936026838,NLN
Nlrc3,0.016216508868088345,0.01888324577015708,0.008964850048371477,0.012275533108866409,NLRC3
Nlrc4,0.002708158081456877,0.0027254400234806224,0.0014188971299580787,0.0025953984287317646,NLRC4
Nlrc5,0.0036295750117706555,0.0038544305341497147,0.001999355046759111,0.002104377104377106,NLRC5
Nlrp12,0.0012317057530666594,0.0024857551286891345,0.0006449532408900355,0.0016133557800224476,NLRP12
Nlrp1a,0.00025951217013244155,4.113875777936593e-05,0.0001289906481780071,7.014590347923682e-05,NLRP1A
Nlrp1b,0.002130654169729459,0.0009396581257726674,0.0009674298613350535,0.0004208754208754209,NLRP1B
Nlrp3,0.005832423029727347,0.006636526698268711,0.002708803611738148,0.003016273849607186,NLRP3
Nlrx1,0.008221539535333404,0.012119276811020104,0.004321186713963233,0.008557800224466875,NLRX1
Nmb,0.01631646612811343,0.01688083734797472,0.008190906159303436,0.008908529741863057,NMB
Nmbr,0.0121891205395144,0.0047798316908055725,0.006449532408900344,0.0034371492704826077,NMBR
Nmd3,0.08979702140432105,0.0843135092829088,0.04733956788132849,0.059694163860830284,NMD3
Nme1,0.28101619004252937,0.4500106317835458,0.12260561109319544,0.20202020202019969,NME1
Nme2,0.016447688693330065,0.036135522361372616,0.008190906159303436,0.018799102132435404,NME2
Nme3,0.00632293196600208,0.0074951075140639945,0.0034182521767171853,0.0062429854096520705,NME3
Nme4,0.0065890363218838255,0.006207335132209482,0.0038052241212512055,0.005331088664421996,NME4
Nme5,0.03751404873412265,0.05519889319107625,0.019671073847146038,0.039632435465768646,NME5
Nme6,0.022201093802566286,0.03180882115998967,0.012705578845533673,0.024761503928170506,NME6
Nme7,0.31782773560271355,0.3161865693998802,0.14130925507900644,0.16806958473625258,NME7
Nme8,0.0005325181985870773,0.0005548535183650453,0.0002579812963560142,0.0002805836139169473,NME8
Nme9,0.009149030789669518,0.01302187681025666,0.004385682038052236,0.006172839506172834,NME9
Nmi,0.012237674934780599,0.024591922271662164,0.005740083843921307,0.01865881032547693,NMI
Nmnat1,0.01586824146542645,0.024091159590432804,0.00864237342792646,0.019149831649831587,NMNAT1
Nmnat2,0.3731270958810088,0.31399341688764043,0.16807481457594284,0.17368125701459095,NMNAT2
Nmnat3,0.01126563586287493,0.013078642013207093,0.00580457916801031,0.00785634118967451,NMNAT3
Nmral1,0.01972686183499349,0.020785035621288535,0.009545307965172507,0.013397867564534193,NMRAL1
Nmrk1,0.02086544586359589,0.023966610226900026,0.011351177039664602,0.017957351290684567,NMRK1
Nmrk2,0.0006232882708485546,0.0014212208995687692,0.00038697194453402126,0.0009118967452300786,NMRK2
Nmt1,0.1040062975876349,0.14341461467537409,0.05159625927120271,0.09125982042648954,NMT1
Nmt2,0.2214456381156094,0.20666798044440396,0.10938406965494975,0.126332772166111,NMT2
Nmur1,0.0016765136506591797,0.0017894365085939065,0.0009029345372460499,0.0013327721661054999,NMUR1
Nmur2,0.0017470852514933715,0.00035125908888905945,0.0009029345372460499,0.00021043771043771046,NMUR2
Nnat,0.7873855199428668,0.9454804235868964,0.3017736214124691,0.37443883277219514,NNAT
Nnt,0.010557183334789002,0.012478369464530417,0.0056110931957433,0.00904882154882153,NNT
Noa1,0.026806486107216965,0.03877295231784224,0.013930990003224737,0.031285072951739504,NOA1
Nob1,0.05014758497095071,0.05520538736394324,0.026249596904224383,0.041035353535353376,NOB1
Noc2l,0.11663940970116558,0.12793538756832018,0.057787810383747036,0.08080808080808227,NOC2L
Noc3l,0.04332875188522516,0.04596153149031636,0.023024830699774214,0.034090909090908963,NOC3L
