"bulk_gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol","ensemblID","gene_type","Class","MGI_Symbol"
"ENSG00000165533.18",-0.089831306164297,4.18731362331213,-1.19437432687198,0.238244827279208,0.738724525080483,-5.03992009910071,"TTC8","ENSG00000165533","protein_coding","InGen","TTC8"
"ENSG00000142089.15",0.218032467513998,5.31276831292212,1.19426184701893,0.238288392310754,0.73875894488059,-5.04003744874191,"IFITM3","ENSG00000142089","protein_coding","InGen","IFITM3"
"ENSG00000156983.15",-0.0798322503988357,3.94514957660955,-1.19391967175654,0.238420957281025,0.739069241777278,-5.04039437486896,"BRPF1","ENSG00000156983","protein_coding","InGen","BRPF1"
"ENSG00000088926.13",-0.241923844908234,-0.462972617985689,-1.19362725678521,0.238534286754308,0.739074551339719,-5.04069931980213,"F11","ENSG00000088926","protein_coding","InGen","F11"
"ENSG00000197323.11",-0.0426610681285012,6.64510705374666,-1.19362299264538,0.238535939670898,0.739074551339719,-5.0407037661434,"TRIM33","ENSG00000197323","protein_coding","InGen","TRIM33"
"ENSG00000214888.2",-0.929830417471768,-3.37578964700587,-1.19354475086846,0.23856627015943,0.739074551339719,-5.04078534845863,"XXyac-YM21GA2.7","ENSG00000214888","antisense","InGen","XXyac-YM21GA2.7"
"ENSG00000170324.20",-0.176872245062227,4.7663864504476,-1.19353717424283,0.238569207393648,0.739074551339719,-5.04079324830328,"FRMPD2","ENSG00000170324","protein_coding","InGen","FRMPD2"
"ENSG00000182944.17",-0.0395169553681564,7.11087992927216,-1.19339276129509,0.238625197066903,0.739074551339719,-5.04094381294616,"EWSR1","ENSG00000182944","protein_coding","InGen","EWSR1"
"ENSG00000273344.1",-0.083751302746445,2.06933739391432,-1.19336396730162,0.238636361796266,0.739074551339719,-5.04097383146773,"PAXIP1-AS1","ENSG00000273344","lincRNA","InGen","PAXIP1-AS1"
"ENSG00000259234.5",0.140252633541948,1.84617055937131,1.19320664722994,0.238697368596149,0.739074551339719,-5.04113782996387,"ANKRD34C-AS1","ENSG00000259234","lincRNA","InGen","ANKRD34C-AS1"
"ENSG00000239697.10",-0.0764664003548748,2.16841877905477,-1.1931972737721,0.238701003866863,0.739074551339719,-5.04114760069799,"TNFSF12","ENSG00000239697","protein_coding","InGen","TNFSF12"
"ENSG00000132849.19",0.102555129515436,5.73384621144921,1.19316125263439,0.238714974175907,0.739074551339719,-5.04118514785561,"PATJ","ENSG00000132849","protein_coding","InGen","PATJ"
"ENSG00000001461.16",-0.078014542707905,7.87900006162723,-1.19299098092783,0.238781019802153,0.739146815255431,-5.04136261870239,"NIPAL3","ENSG00000001461","protein_coding","InGen","NIPAL3"
"ENSG00000197454.1",0.384635107096301,-1.08878862311602,1.19293360592126,0.238803277630424,0.739146815255431,-5.04142241420706,"OR2L5","ENSG00000197454","protein_coding","InGen","OR2L5"
"ENSG00000237489.3",-0.1183742135452,1.27665533760261,-1.19269238352744,0.238896872995356,0.739239548607191,-5.04167378370787,"LINC00959","ENSG00000237489","protein_coding","InGen","LINC00959"
"ENSG00000114127.10",0.0419095830906693,6.14704292733524,1.19268894115577,0.238898208844142,0.739239548607191,-5.04167737054013,"XRN1","ENSG00000114127","protein_coding","InGen","XRN1"
"ENSG00000126749.14",-0.0631557913723868,3.53234580266572,-1.1925907918469,0.23893629901067,0.739256889230023,-5.0417796346533,"EMG1","ENSG00000126749","protein_coding","InGen","EMG1"
"ENSG00000106829.18",0.0784520709932883,5.58955806517986,1.19247024815837,0.23898308612376,0.73930112939536,-5.04190522123806,"TLE4","ENSG00000106829","protein_coding","InGen","TLE4"
"ENSG00000142546.13",0.0517413071987045,3.87355993180507,1.19238542808041,0.239016011682969,0.739302482242443,-5.0419935826141,"NOSIP","ENSG00000142546","protein_coding","InGen","NOSIP"
"ENSG00000239291.1",-0.150472169070969,0.0248180161297466,-1.19192254992772,0.239195750450474,0.739757882203178,-5.04247568269356,"RP5-867C24.1","ENSG00000239291","processed_pseudogene","InGen","RP5-867C24.1"
"ENSG00000185219.16",-0.0369033388166889,6.27343570419069,-1.19175573582036,0.239260549620177,0.739857734360204,-5.04264938117379,"ZNF445","ENSG00000185219","protein_coding","InGen","ZNF445"
"ENSG00000163633.10",0.0660038138341404,2.75667352228124,1.19156593449282,0.239334293741832,0.739973926943029,-5.04284698789822,"C4orf36","ENSG00000163633","protein_coding","InGen","C4orf36"
"ENSG00000105483.16",-0.0660155484182309,4.46579233615288,-1.1914916497905,0.239363160319372,0.739973926943029,-5.04292431947272,"CARD8","ENSG00000105483","protein_coding","InGen","CARD8"
"ENSG00000244004.1",-0.274887583953443,-1.7916282562769,-1.19110568342542,0.239513185246512,0.740241483488218,-5.04332604411294,"RP11-1396O13.2","ENSG00000244004","processed_pseudogene","InGen","RP11-1396O13.2"
"ENSG00000113555.5",0.183117771840977,1.30898653071349,1.19110161444125,0.239514767222875,0.740241483488218,-5.04333027857759,"PCDH12","ENSG00000113555","protein_coding","InGen","PCDH12"
"ENSG00000081148.11",0.115714625654427,2.80923323429217,1.19090859316465,0.239589820509317,0.740372889124121,-5.04353113424396,"IMPG2","ENSG00000081148","protein_coding","InGen","IMPG2"
"ENSG00000231989.4",-0.303990206146698,-1.54745672323493,-1.19045157024771,0.239767594888483,0.740724737284333,-5.04400658551771,"PPP1R2P3","ENSG00000231989","protein_coding","InGen","PPP1R2P3"
"ENSG00000259520.5",-0.328363164464389,0.301277125098528,-1.19027596671955,0.23983592727408,0.740724737284333,-5.0441892244443,"CTD-2651B20.3","ENSG00000259520","antisense","InGen","CTD-2651B20.3"
"ENSG00000118985.15",0.121249648322333,6.03532558380895,1.19025873122884,0.239842634862682,0.740724737284333,-5.04420714910136,"ELL2","ENSG00000118985","protein_coding","InGen","ELL2"
"ENSG00000225335.3",-0.138023450265585,-0.614781688395998,-1.19025849455757,0.239842726969715,0.740724737284333,-5.04420739523432,"XXbac-B476C20.9","ENSG00000225335","antisense","InGen","XXbac-B476C20.9"
"ENSG00000204619.7",-0.042289970230473,5.40738315822568,-1.19019757904811,0.239866434744606,0.740724737284333,-5.04427074451188,"PPP1R11","ENSG00000204619","protein_coding","InGen","PPP1R11"
"ENSG00000159459.11",-0.0572319335319166,6.60077295349898,-1.19001515935372,0.239937441062461,0.740843474737768,-5.04446043431308,"UBR1","ENSG00000159459","protein_coding","InGen","UBR1"
"ENSG00000112576.12",0.0765666428419412,4.72968109059058,1.189666276584,0.240073285204261,0.741109462081387,-5.04482314561539,"CCND3","ENSG00000112576","protein_coding","InGen","CCND3"
"ENSG00000279954.1",-0.20051158837566,-0.527298744374817,-1.18957534230008,0.240108701383444,0.741109462081387,-5.04491766788197,"WI2-85898F10.2","ENSG00000279954","antisense","InGen","WI2-85898F10.2"
"ENSG00000168137.15",0.0476031447257446,6.88045822977509,1.18946341313048,0.240152299657341,0.741109462081387,-5.04503400414704,"SETD5","ENSG00000168137","protein_coding","InGen","SETD5"
"ENSG00000144908.13",0.100528423211823,5.89301496666553,1.18941847973505,0.240169803581578,0.741109462081387,-5.04508070386789,"ALDH1L1","ENSG00000144908","protein_coding","InGen","ALDH1L1"
"ENSG00000279529.1",0.100206577400318,0.955810477802285,1.18932381584564,0.240206683188318,0.741109462081387,-5.04517908358056,"CTD-3222D19.8","ENSG00000279529","antisense","InGen","CTD-3222D19.8"
"ENSG00000038210.12",0.125338004891293,1.70371172775033,1.18929222233248,0.240218992455278,0.741109462081387,-5.04521191559748,"PI4K2B","ENSG00000038210","protein_coding","InGen","PI4K2B"
"ENSG00000186716.19",0.0588031810610317,6.9779587778012,1.1891218687853,0.240285372442042,0.741133776659996,-5.04538893314828,"BCR","ENSG00000186716","protein_coding","InGen","BCR"
"ENSG00000164440.14",-0.279680130768061,1.19784212460943,-1.18904954421624,0.240313558475954,0.741133776659996,-5.04546407978445,"TXLNB","ENSG00000164440","protein_coding","InGen","TXLNB"
"ENSG00000164190.16",0.0345437926003252,7.05049155756763,1.18896730498098,0.240345611333256,0.741133776659996,-5.04554952275659,"NIPBL","ENSG00000164190","protein_coding","InGen","NIPBL"
"ENSG00000133142.17",-0.0470977779252958,5.78223544903591,-1.18884547128253,0.240393101900624,0.741133776659996,-5.04567609248377,"TCEAL4","ENSG00000133142","protein_coding","InGen","TCEAL4"
"ENSG00000256712.1",-0.148108370758004,0.589047833837578,-1.1887663208201,0.240423958270706,0.741133776659996,-5.04575831325179,"RP11-785H5.2","ENSG00000256712","sense_intronic","InGen","RP11-785H5.2"
"ENSG00000104408.9",0.0582312676506995,5.98115372366863,1.18875672137744,0.2404277007561,0.741133776659996,-5.04576828471577,"EIF3E","ENSG00000104408","protein_coding","InGen","EIF3E"
"ENSG00000261251.1",0.184874073001192,-0.387412077395756,1.18868707505235,0.240454854679238,0.741133776659996,-5.04584062789145,"RP3-388M5.9","ENSG00000261251","antisense","InGen","RP3-388M5.9"
"ENSG00000077348.8",-0.0847069022575018,2.62965709976916,-1.18842028169836,0.240558893517338,0.741314493034373,-5.04611771534968,"EXOSC5","ENSG00000077348","protein_coding","InGen","EXOSC5"
"ENSG00000156052.10",-0.0559604850132316,7.8728014554631,-1.18829645743808,0.24060719118818,0.741314493034373,-5.04624629754364,"GNAQ","ENSG00000156052","protein_coding","InGen","GNAQ"
