mouse_gene,human_gene_upper,human_gene,in_bulk,in_sce
Ankrd11,ANKRD11,ANKRD11,True,True
Ankrd12,ANKRD12,ANKRD12,True,True
Ankrd13a,ANKRD13A,ANKRD13A,True,True
Ankrd13b,ANKRD13B,ANKRD13B,True,True
Ankrd13c,ANKRD13C,ANKRD13C,True,True
Ankrd13d,ANKRD13D,ANKRD13D,True,True
Ankrd16,ANKRD16,ANKRD16,True,True
Ankrd17,ANKRD17,ANKRD17,True,True
Ankrd2,ANKRD2,ANKRD2,True,True
Ankrd23,ANKRD23,ANKRD23,True,True
Ankrd24,ANKRD24,ANKRD24,True,True
Ankrd26,ANKRD26,ANKRD26,True,True
Ankrd27,ANKRD27,ANKRD27,True,True
Ankrd28,ANKRD28,ANKRD28,True,True
Ankrd29,ANKRD29,ANKRD29,True,True
Ankrd33b,ANKRD33B,ANKRD33B,True,True
Ankrd34a,ANKRD34A,ANKRD34A,True,True
Ankrd34b,ANKRD34B,ANKRD34B,True,True
Ankrd34c,ANKRD34C,ANKRD34C,True,True
Ankrd35,ANKRD35,ANKRD35,True,True
Ankrd36,ANKRD36,ANKRD36,True,True
Ankrd37,ANKRD37,ANKRD37,True,True
Ankrd39,ANKRD39,ANKRD39,True,True
Ankrd40,ANKRD40,ANKRD40,True,True
Ankrd42,ANKRD42,ANKRD42,True,True
Ankrd44,ANKRD44,ANKRD44,True,True
Ankrd45,ANKRD45,ANKRD45,True,True
Ankrd46,ANKRD46,ANKRD46,True,True
Ankrd49,ANKRD49,ANKRD49,True,True
Ankrd50,ANKRD50,ANKRD50,True,True
Ankrd52,ANKRD52,ANKRD52,True,True
Ankrd54,ANKRD54,ANKRD54,True,True
Ankrd55,ANKRD55,ANKRD55,True,True
Ankrd6,ANKRD6,ANKRD6,True,True
Ankrd61,ANKRD61,ANKRD61,False,True
Ankrd65,ANKRD65,ANKRD65,True,True
Ankrd66,ANKRD66,ANKRD66,True,True
Ankrd9,ANKRD9,ANKRD9,True,True
Anks1b,ANKS1B,ANKS1B,True,True
Anks3,ANKS3,ANKS3,True,True
Anks6,ANKS6,ANKS6,True,True
Ankub1,ANKUB1,ANKUB1,True,True
Ankzf1,ANKZF1,ANKZF1,True,True
Anln,ANLN,ANLN,True,True
Ano1,ANO1,ANO1,True,True
Ano10,ANO10,ANO10,True,True
Ano2,ANO2,ANO2,True,True
Ano3,ANO3,ANO3,True,True
Ano4,ANO4,ANO4,True,True
Ano5,ANO5,ANO5,True,True
Ano6,ANO6,ANO6,True,True
Ano7,ANO7,ANO7,True,True
Ano8,ANO8,ANO8,True,True
Anp32a,ANP32A,ANP32A,True,True
Anp32b,ANP32B,ANP32B,True,True
Anp32e,ANP32E,ANP32E,True,True
