,,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pheno,lfc,log_adj_pval,sign
si,139,Uqcr10,-7.507976,-0.7868474,6.00483815722671e-14,6.9922051170792745e-12,0.19966329966329965,si,0.7868474,25.68622514203889,False
si,140,Uqcrb,-7.5004873,-0.85772717,6.358098968772666e-14,7.351044637512907e-12,0.16498316498316498,si,0.85772717,25.63617868525019,False
si,141,Klc1,-7.496472,-0.8194368,6.555858570528128e-14,7.5263103110387e-12,0.17373737373737375,si,0.8194368,25.612616192739296,False
si,142,Atp1a2,-7.485688,-0.7763867,7.117322228341607e-14,8.113747340309432e-12,0.17306397306397306,si,0.7763867,25.53746129036347,False
si,143,Tcf25,-7.4778023,-0.7177177,7.557579104820458e-14,8.555809344915492e-12,0.22727272727272727,si,0.7177177,25.48441060815962,False
si,144,Prnp,-7.473403,-0.82718587,7.814713311749535e-14,8.785893545389028e-12,0.17474747474747473,si,0.82718587,25.457873686839324,False
si,145,Rpl5,-7.4687586,-0.7332086,8.09548518061943e-14,9.039219137976573e-12,0.2111111111111111,si,0.7332086,25.42944832379772,False
si,146,Uqcrh,-7.467343,-0.63465005,8.183031933804423e-14,9.074815413937396e-12,0.31683501683501686,si,0.63465005,25.42551807604649,False
si,147,Tuba1a,-7.4635983,-0.7249802,8.41909133459784e-14,9.273515333554999e-12,0.24713804713804713,si,0.7249802,25.403858592101823,False
si,148,Gnb1,-7.434794,-0.6675209,1.0473113428701949e-13,1.145857014192612e-11,0.24511784511784512,si,0.6675209,25.192283181891746,False
si,149,Prkar1a,-7.419234,-0.7551303,1.1779974971050092e-13,1.2802476798537241e-11,0.20841750841750842,si,0.7551303,25.081382463835943,False
si,150,Ctnnb1,-7.395239,-0.83479124,1.411542859608243e-13,1.523905410419442e-11,0.17777777777777778,si,0.83479124,24.90715963425017,False
si,151,Ldhb,-7.357569,-0.6853176,1.8728914191112483e-13,2.0086760469968138e-11,0.2441077441077441,si,0.6853176,24.63096020097669,False
si,152,Sncb,-7.332172,-1.0002198,2.2645249350672778e-13,2.412829117089331e-11,0.12222222222222222,si,1.0002198,24.447636056416645,False
si,153,Meg3,-7.3301806,-0.35201827,2.2984293620687445e-13,2.433051653275628e-11,0.8747474747474747,si,0.35201827,24.439289729076673,False
si,154,Syt11,-7.327144,-0.7469255,2.3510929414803956e-13,2.4727430407750587e-11,0.20336700336700336,si,0.7469255,24.423107945667223,False
si,155,Vamp2,-7.322189,-0.9097969,2.439585884566925e-13,2.5493672493724366e-11,0.14343434343434344,si,0.9097969,24.392590832056378,False
si,156,Cox17,-7.2971287,-1.1442789,2.939735925760781e-13,3.052457010302691e-11,0.10235690235690235,si,1.1442789,24.212489179469873,False
si,157,Rps7,-7.292663,-0.6155509,3.038872807971626e-13,3.1354243364274335e-11,0.3282828282828283,si,0.6155509,24.18567150348691,False
si,158,Ubl5,-7.201433,-0.8314566,5.958290716811695e-13,6.108934293425425e-11,0.16734006734006734,si,0.8314566,23.518683685025252,False
si,159,Rab6b,-7.1750436,-0.80835384,7.228426966618733e-13,7.364863525613662e-11,0.17845117845117844,si,0.80835384,23.331715503318726,False
