,names,avg_logFC,ct,pheno
227,Crip2,1.66140170362,Astrocytes,tst
1075,Tenm2,-1.54455190484,Astrocytes,tst
224,Cpne4,-1.5783122168800001,Astrocytes,tst
221,Cox8a,0.8599347392260001,Astrocytes,tst
220,Cox7c,0.783612128114,Astrocytes,tst
245,Cyb5a,1.41333627412,Astrocytes,tst
670,Nrg3,-1.7398646114399998,Astrocytes,tst
251,D8Ertd738e,1.112111375658,Astrocytes,tst
252,Dad1,1.24153804178,Astrocytes,tst
254,Dbi,1.5708582154,Astrocytes,tst
1053,Sumo2,0.908179709584,Astrocytes,tst
1026,Spcs2,1.24097061162,Astrocytes,tst
1025,Spcs1,1.160700132568,Astrocytes,tst
1021,Sox9,1.166109610706,Astrocytes,tst
276,Dpp6,-1.095022882736,Astrocytes,tst
1020,Sox2,1.44571089656,Astrocytes,tst
659,Nkain4,0.924852551734,Astrocytes,tst
159,Cd63,0.9668186185459999,Astrocytes,tst
218,Cox7a2,0.9550162079399999,Astrocytes,tst
681,Oaz1,0.940312292262,Astrocytes,tst
178,Chchd10,1.1273005766239999,Astrocytes,tst
214,Cox5b,0.966557869168,Astrocytes,tst
