names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pheno,lfc,log_adj_pval,region,phenotype,n_control_cells,n_pheno_cells
Tspan31,15.538095,1.8982515,1.9159175458085682e-54,2.317009483069086e-53,0.567219152854512,tst,1.8982515,121.19673259042034,Ventral/Dorsal,tst,920,543
Dnajc7,15.535534,1.4549543,1.9940413707021987e-54,2.4097006986795583e-53,0.8766114180478821,tst,1.4549543,121.15750738031352,Ventral/Dorsal,tst,920,543
Ppp1cc,15.535022,1.2124864,2.010042747972579e-54,2.4272382872184434e-53,0.7090239410681399,tst,1.2124864,121.15025582496366,Ventral/Dorsal,tst,920,543
Ppp6c,15.531371,1.3784925,2.1278146915961137e-54,2.5675525612435116e-53,0.6593001841620626,tst,1.3784925,121.0940567943135,Ventral/Dorsal,tst,920,543
Aasdhppt,15.530026,1.584756,2.172915578330108e-54,2.620034745409573e-53,0.6114180478821363,tst,1.584756,121.07382234939264,Ventral/Dorsal,tst,920,543
Hnrnpm,15.527208,1.0375619,2.270523209533216e-54,2.735703574413192e-53,0.7955801104972375,tst,1.0375619,121.03062127747884,Ventral/Dorsal,tst,920,543
Mapkap1,15.524902,1.139042,2.3536226225902292e-54,2.833733825219048e-53,0.7311233885819521,tst,1.139042,120.99541471376793,Ventral/Dorsal,tst,920,543
Suclg1,15.523237,1.9427354,2.41551604777984e-54,2.9061064657495906e-53,0.9465930018416207,tst,1.9427354,120.9701957276797,Ventral/Dorsal,tst,920,543
Yipf5,15.523109,1.4037267,2.4203436810112578e-54,2.909767159870614e-53,0.6316758747697975,tst,1.4037267,120.96893686449246,Ventral/Dorsal,tst,920,543
Cend1,15.52266,2.040434,2.437316192037137e-54,2.928012421708873e-53,0.9723756906077348,tst,2.040434,120.96268609020744,Ventral/Dorsal,tst,920,543
Cnot4,15.522084,1.3472565,2.459312269785838e-54,2.952261312374722e-53,0.860036832412523,tst,1.3472565,120.95443850541176,Ventral/Dorsal,tst,920,543
Aldoa,15.51632,1.4163575,2.6904430328634974e-54,3.2273438058676037e-53,1.0,tst,1.4163575,120.86535048089061,Ventral/Dorsal,tst,920,543
Sbno1,15.516256,1.1897918,2.6931290582957645e-54,3.228190434436585e-53,0.8360957642725598,tst,1.1897918,120.8650881854578,Ventral/Dorsal,tst,920,543
Atxn2l,15.511453,1.355471,2.9023814624919527e-54,3.4764601470642036e-53,0.6574585635359116,tst,1.355471,120.79099535171564,Ventral/Dorsal,tst,920,543
A330102I10Rik,15.507161,1.4940495,3.102965848806737e-54,3.7139904014131734e-53,0.7292817679558011,tst,1.4940495,120.72490305019096,Ventral/Dorsal,tst,920,543
Prkar2b,15.505624,1.2616818,3.178126497394758e-54,3.8011605400241627e-53,0.6832412523020258,tst,1.2616818,120.70170350330926,Ventral/Dorsal,tst,920,543
Senp6,15.502678,1.3448172,3.327288872967767e-54,3.976646862692122e-53,0.8379373848987108,tst,1.3448172,120.656570961299,Ventral/Dorsal,tst,920,543
H2-D1,15.501461,1.1854938,3.390915447467602e-54,4.0497218772613072e-53,0.7421731123388582,tst,1.1854938,120.63836172220518,Ventral/Dorsal,tst,920,543
Wac,15.499284,1.3613286,3.507812598545209e-54,4.186263615042753e-53,0.8766114180478821,tst,1.3613286,120.6052013312391,Ventral/Dorsal,tst,920,543
Gbf1,15.496722,1.2427075,3.6504863233326914e-54,4.353345138476192e-53,0.8232044198895028,tst,1.2427075,120.56606538175994,Ventral/Dorsal,tst,920,543
Fundc1,15.493839,1.363462,3.81791246906304e-54,4.549679025633456e-53,0.6519337016574586,tst,1.363462,120.52195324202671,Ventral/Dorsal,tst,920,543
Gm14325,15.491086,1.8711164,3.985036338170937e-54,4.74536613475987e-53,0.580110497237569,tst,1.8711164,120.47984133737391,Ventral/Dorsal,tst,920,543
Ccdc127,15.490957,1.3430916,3.992984425598677e-54,4.751360007745228e-53,0.6685082872928176,tst,1.3430916,120.47857903419883,Ventral/Dorsal,tst,920,543
Bloc1s2,15.48974,1.614581,4.06928305903122e-54,4.838617974349158e-53,0.6040515653775322,tst,1.614581,120.46038079122074,Ventral/Dorsal,tst,920,543
Bend7,15.488588,1.7435358,4.142904737488171e-54,4.922568005140828e-53,0.6003683241252302,tst,1.7435358,120.4431795820855,Ventral/Dorsal,tst,920,543
Tbc1d9,15.488204,1.5238389,4.1677388826420247e-54,4.948468992340151e-53,0.6224677716390423,tst,1.5238389,120.43793169442196,Ventral/Dorsal,tst,920,543
Celf3,15.487371,1.2471085,4.222055948458644e-54,5.009312668979099e-53,0.7495395948434622,tst,1.2471085,120.42571121481984,Ventral/Dorsal,tst,920,543
Agpat3,15.484938,1.1232394,4.384904470863671e-54,5.198742740655968e-53,0.8453038674033149,tst,1.1232394,120.38859311297378,Ventral/Dorsal,tst,920,543
Fra10ac1,15.484617,1.6411866,4.406792454963224e-54,5.220896119244947e-53,0.5966850828729282,tst,1.6411866,120.38434087117011,Ventral/Dorsal,tst,920,543
Glmn,15.483336,1.943543,4.495437842817721e-54,5.322049942891394e-53,0.570902394106814,tst,1.943543,120.36515137193932,Ventral/Dorsal,tst,920,543
Ssu72,15.479237,1.6889275,4.7912111200351874e-54,5.6680931552114385e-53,0.9318600368324125,tst,1.6889275,120.30215717170321,Ventral/Dorsal,tst,920,543
Churc1,15.472064,1.4696223,5.356191740759636e-54,6.3318809106500065e-53,0.8858195211786372,tst,1.4696223,120.19141259438358,Ventral/Dorsal,tst,920,543
